MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total,od_origin_total,od_destination_total,dominant_lnwc,dominant_lnwc_purity,fitted_log,residual_log,std_residual,direction,mismatch_quartile
E02000027,0.0,0.0,297.89017,127.00417,127.00417,297.89017,640,1115,6,0.6666666666666666,6.105651219579747,-1.2535883780657855,-1.395192109839439,origin,Q1_most_negative
E02000028,0.0,0.0,661.15484,464.98591,464.98591,661.15484,416,592,4,0.5,5.602199954786223,0.541955442830802,0.6031740330017594,origin,Q3
E02000029,0.0,0.0,827.95403,663.61406,663.61406,827.95403,1929,1556,5,0.4,7.3963496405966325,-0.8971431293176098,-0.9984832639816537,origin,Q1_most_negative
E02000030,0.0,0.0,306.71084,210.77769,210.77769,306.71084,454,390,7,0.8333333333333334,5.704321779073006,-0.348784686675752,-0.3881829565408538,origin,Q2
E02000031,309.257650227,1758.8216379972002,1213.65445,1218.53563,1527.7932802270002,2972.4760879972,855,851,5,0.6,6.444344085791759,0.887889911668732,0.9881848147616149,origin,Q4_most_positive
E02000032,0.0,0.0,86.07016,82.92027999999999,82.92027999999999,86.07016,449,719,5,0.8,5.69138273607976,-1.2615154354863218,-1.4040145974764424,origin,Q1_most_negative
E02000033,0.0,0.0,561.3443,275.17156,275.17156,561.3443,850,1228,5,0.6,6.437484244987583,-0.8164619781771911,-0.9086884737191931,origin,Q1_most_negative
E02000034,0.0,0.0,636.56232,264.42971,264.42971,636.56232,762,1131,4,0.4,6.309667910531421,-0.7283178506634851,-0.810587698865527,origin,Q1_most_negative
E02000035,695.8307524400001,2122.7251382162003,429.85403,355.11345,1050.94420244,2552.5791682162003,578,596,4,0.4,5.986531828384548,0.9718635240007591,1.0816439783996268,origin,Q4_most_positive
E02000036,0.0,0.0,777.32921,453.86268,453.86268,777.32921,1121,1515,5,0.6666666666666666,6.761206285708363,-0.6412107145066637,-0.713641052579429,origin,Q1_most_negative
E02000037,0.0,0.0,677.4771,255.93718,255.93718,677.4771,787,816,7,0.5,6.347420099517965,-0.798588480299709,-0.8887960084967799,origin,Q1_most_negative
E02000038,0.0,0.0,1202.30766,780.57438,780.57438,1202.30766,908,1180,5,0.5,6.514689867063635,0.1466204542126519,0.1631825122487149,origin,Q3
E02000039,0.0,0.0,1313.19662,1297.59807,1297.59807,1313.19662,1695,1511,5,0.75,7.245004545045607,-0.07596399118824948,-0.08454478598572053,origin,Q3
E02000040,236.11966371,1173.0103808796,675.99269,702.71784,938.83750371,1849.0030708796,575,698,7,0.6,5.980448845996402,0.8652581459305679,0.962996593857445,origin,Q4_most_positive
E02000041,769.3539771200001,2776.132644036,3702.09353,3446.50195,4215.85592712,6478.226174036,3944,3204,5,0.6,8.233511050307547,0.11333403807473452,0.12613610533154948,origin,Q3
E02000042,0.0,0.0,3324.24338,3024.50479,3024.50479,3324.24338,2554,2138,3,0.3333333333333333,7.72484486928953,0.2899883599809794,0.3227450723617904,origin,Q3
E02000043,216.9699119552,1122.5586201268072,143.07644,111.36375,328.3336619552,1265.6350601268073,326,312,4,0.4,5.317506284013746,0.47956512290519093,0.5337361827363648,origin,Q3
E02000044,0.0,0.0,849.98655,382.95616,382.95616,849.98655,738,1159,4,0.4,6.272243532945465,-0.3217151535419145,-0.3580556837404789,origin,Q2
E02000045,0.0,0.0,1559.17287,705.51955,705.51955,1559.17287,944,1354,5,0.5,6.5601702040246295,0.0001806693377659485,0.00020107751392039468,origin,Q3
E02000046,1275.6399958491108,4095.444468032,1273.1601,1605.6438899999998,2881.2838858491104,5368.604568032,2285,1903,5,0.5,7.594575863653684,0.3717624111251494,0.4137562152075687,origin,Q3
E02000047,673.0560175740001,2162.8161642398,1949.07296,1828.80447,2501.860487574,4111.8891242398,2729,2590,4,0.42857142857142855,7.802421010086482,0.02276854170716991,0.025340446910817337,origin,Q3
E02000048,0.0,0.0,452.02698,218.376,218.376,452.02698,753,900,4,0.4,6.295773557286219,-0.9049864046719192,-1.007212505637926,origin,Q1_most_negative
E02000049,0.0,0.0,898.74574,570.86159,570.86159,898.74574,940,1808,2,0.4,6.55520319137505,-0.2063062048005282,-0.22961028850054585,origin,Q2
E02000050,0.0,0.0,964.705,687.48001,687.48001,964.705,1192,1754,5,0.6666666666666666,6.833055147020856,-0.29856886340581656,-0.3322948184237748,origin,Q2
E02000051,0.0,0.0,1424.10532,1212.35655,1212.35655,1424.10532,1606,1457,5,0.4,7.18188514189735,-0.08073933550235335,-0.08985954705512693,origin,Q3
E02000052,0.0,0.0,579.96542,536.4936299999999,536.4936299999999,579.96542,3062,2998,4,0.3333333333333333,7.937191886255688,-1.6502749774868866,-1.8366879176143214,origin,Q1_most_negative
E02000053,1312.4787040380002,4907.466001903401,1414.89991,1010.28776,2322.7664640380003,6322.365911903401,3236,3180,3,0.4166666666666667,8.001890574511314,-0.2509459503848914,-0.27929248236440374,origin,Q2
E02000054,0.0,0.0,849.9617,424.39979,424.39979,849.9617,885,995,4,0.5,6.48468004194759,-0.43165063283460814,-0.4804093334586116,origin,Q2
E02000055,1380.16231944,3183.2742846700003,2506.88499,2385.4763,3765.63861944,5690.159274670001,3209,3195,4,0.3333333333333333,7.9920824731598135,0.24185579667841495,0.269175516580091,origin,Q3
E02000056,1141.769716616,4378.047258222,1158.45471,1779.12451,2920.894226616,5536.501968222,605,639,5,0.3333333333333333,6.0399017907985515,1.9400856018890646,2.1592351776147978,origin,Q4_most_positive
E02000057,0.0,0.0,1069.51271,1097.64678,1097.64678,1069.51271,746,622,5,1.0,6.28485169218438,0.7169828092848975,0.7979722657833299,origin,Q4_most_positive
E02000058,0.0,0.0,1226.2488,707.78077,707.78077,1226.2488,851,1225,6,0.6666666666666666,6.438859431847209,0.12468683671445291,0.13877130151226885,origin,Q3
E02000059,0.0,0.0,2116.02936,1879.50708,1879.50708,2116.02936,2216,2392,4,0.5,7.558687186584745,-0.019390443725312956,-0.021580763323272127,origin,Q3
E02000060,482.7812669552031,1178.163422996345,749.35447,675.51473,1158.295996955203,1927.517892996345,1242,1131,4,0.5,6.881131335818717,0.17443686486729248,0.1941410288945765,origin,Q3
E02000061,1543.4028416,4132.04076073,4844.12972,5167.653,6711.0558416,8976.170480730001,3505,2594,5,0.4,8.095367835836067,0.7162927319426373,0.797204238191541,origin,Q4_most_positive
E02000062,0.0,0.0,6466.261,5725.61543,5725.61543,6466.261,5133,3943,2,0.25,8.541987242222492,0.11089271757618846,0.1234190164076587,origin,Q3
E02000063,0.0,0.0,597.72124,259.77902,259.77902,597.72124,413,1027,5,0.75,5.593745250356824,-0.030071868325458162,-0.03346874791591919,origin,Q3
E02000064,0.0,0.0,1820.45724,974.18064,974.18064,1820.45724,687,674,3,0.5,6.188508436432432,0.6941142891995877,0.7725205470652942,origin,Q4_most_positive
E02000065,0.0,0.0,1329.41543,573.2459299999999,573.2459299999999,1329.41543,1223,1778,6,0.75,6.86309412628443,-0.5100363722457812,-0.5676494252335051,origin,Q2
E02000066,0.0,0.0,1649.91685,3613.52105,3613.52105,1649.91685,1693,2188,5,0.6666666666666666,7.2436228676270265,0.9490917685617575,1.056299954737961,origin,Q4_most_positive
E02000067,0.0,0.0,980.25225,900.3410700000001,900.3410700000001,980.25225,2122,2094,3,0.6,7.507955142556872,-0.7040714105190844,-0.7836024120097591,origin,Q1_most_negative
E02000068,0.0,0.0,1654.26418,1218.5896,1218.5896,1654.26418,2386,2407,5,0.5,7.645201389173398,-0.5389317014816841,-0.5998087337166833,origin,Q2
E02000069,0.0,0.0,644.22391,316.10961,316.10961,644.22391,587,666,5,0.75,6.004593443174249,-0.24534595619196864,-0.273059920025905,origin,Q2
E02000070,0.0,0.0,1037.18124,297.01457,297.01457,1037.18124,579,929,5,0.8,5.9885524871713685,-0.2914101092437198,-0.3243274205936766,origin,Q2
E02000071,0.0,0.0,223.96862,141.51457,141.51457,223.96862,465,609,5,0.8,5.732294197664385,-0.7728499575683712,-0.860150095323037,origin,Q1_most_negative
E02000072,0.0,0.0,814.12415,670.60205,670.60205,814.12415,1504,1771,4,0.25,7.105097295569772,-0.5954313179588944,-0.6626904742442916,origin,Q2
E02000073,0.0,0.0,822.26816,584.82967,584.82967,822.26816,979,1280,6,0.5714285714285714,6.602755678012139,-0.22972659621554925,-0.2556762172242995,origin,Q2
E02000074,0.0,0.0,155.76892,67.73653,67.73653,155.76892,674,1001,5,0.6,6.166170812344844,-1.935890022267146,-2.154565670711953,origin,Q1_most_negative
E02000075,0.0,0.0,272.59026,99.21931,99.21931,272.59026,489,480,6,1.0,5.791100100637943,-1.1837392159833877,-1.3174528761951214,origin,Q1_most_negative
E02000077,0.0,0.0,223.90354,135.87444,135.87444,223.90354,301,378,6,0.6,5.224375229811876,-0.30531122057368165,-0.33979878359042626,origin,Q2
E02000078,0.0,0.0,435.41853,337.37015,337.37015,435.41853,809,672,6,0.8,6.37966415488115,-0.5555237402596012,-0.6182749878668834,origin,Q2
E02000079,0.0,0.0,3714.23142,3470.85409,3470.85409,3714.23142,4480,2985,5,0.6,8.382689633120593,-0.23024558299300324,-0.25625382808100833,origin,Q2
E02000080,0.0,0.0,1672.29621,1476.33839,1476.33839,1672.29621,2158,2048,6,0.5,7.527644991411547,-0.22964762882446,-0.25558832977822066,origin,Q2
E02000081,0.0,0.0,283.60104,191.15132,191.15132,283.60104,678,811,7,0.4,6.173089423174386,-0.9148062365540301,-1.0181415731066354,origin,Q1_most_negative
E02000082,0.0,0.0,234.97211,149.40217,149.40217,234.97211,461,673,5,0.6666666666666666,5.722199553454702,-0.7088867138515589,-0.7889616458168863,origin,Q1_most_negative
E02000083,0.0,0.0,507.42548,535.08794,535.08794,507.42548,1975,1757,6,0.5714285714285714,7.423931401129256,-1.13963318635182,-1.268364686152027,origin,Q1_most_negative
E02000084,0.0,0.0,256.57471,202.98614,202.98614,256.57471,488,562,6,0.42857142857142855,5.788707921100381,-0.47065587074074156,-0.5238205528997284,origin,Q2
E02000085,0.0,0.0,483.27869,333.02676,333.02676,483.27869,576,638,6,1.0,5.982480019925275,-0.17125891039751195,-0.1906040967729594,origin,Q2
E02000086,0.0,0.0,108.69673,58.93187,58.93187,108.69673,186,339,6,1.0,4.663107054694888,-0.5698986376413506,-0.6342736551788071,origin,Q2
E02000087,0.0,0.0,405.94536,394.14292,394.14292,405.94536,696,552,6,0.4,6.203727052503854,-0.2244795302600009,-0.24983644944320094,origin,Q2
E02000088,0.0,0.0,176.68475999999998,105.39952,105.39952,176.68475999999998,592,518,6,0.4,6.014508586889002,-1.347307521269829,-1.499497646989475,origin,Q1_most_negative
E02000089,0.0,0.0,164.50668,91.88332,91.88332,164.50668,566,717,5,0.4,5.9620079691867405,-1.4306638873885706,-1.5922698410753817,origin,Q1_most_negative
E02000090,0.0,0.0,1500.02258,1638.76537,1638.76537,1500.02258,3142,3619,4,0.4,7.96738296182216,-0.5650745183121568,-0.6289046095313034,origin,Q2
E02000091,0.0,0.0,886.34783,701.55573,701.55573,886.34783,1112,909,6,0.6666666666666666,6.751775591970862,-0.19705086294864138,-0.21930947513025664,origin,Q2
E02000092,0.0,0.0,565.44487,423.1743,423.1743,565.44487,540,737,6,0.5,5.907042538949847,0.14310191671552097,0.15926652527877694,origin,Q3
E02000093,765.4443808000001,2420.2229665580003,1278.38025,1540.53241,2305.9767908000003,3698.603216558,2284,2022,5,0.6666666666666666,7.594063515591962,0.14962968219308426,0.16653165875363485,origin,Q3
E02000094,0.0,0.0,1945.78101,1459.63023,1459.63023,1945.78101,2831,2932,4,0.5,7.8453740783248165,-0.5587507923791399,-0.6218665636456634,origin,Q2
E02000095,884.0226905313001,2621.9550098586,2563.71887,2667.06736,3551.0900505313,5185.673879858599,3352,2612,5,0.4,8.043118715002242,0.132172740852452,0.14710280375901563,origin,Q3
E02000096,0.0,0.0,903.15623,355.16809,355.16809,903.15623,1305,1297,5,0.8,6.939025592235922,-1.0636228098963798,-1.1837682752789593,origin,Q1_most_negative
E02000097,0.0,0.0,1811.76315,1111.11357,1111.11357,1811.76315,963,1708,6,0.6,6.5834799921169065,0.4305376087735393,0.4791705836303301,origin,Q3
E02000098,0.0,0.0,804.39207,599.53752,599.53752,804.39207,893,1642,5,0.6,6.495205699123478,-0.09738057828970081,-0.10838056323641387,origin,Q2
E02000099,470.48650770917743,1863.966321061,265.76071,301.34276,771.8292677091774,2129.727031061,1464,1805,5,0.6,7.073554069067075,-0.42349591459142033,-0.4713334687250744,origin,Q2
E02000100,1860.4053580317536,3179.277227773566,1137.32696,1374.63774,3235.0430980317537,4316.604187773566,1685,1188,5,0.6,7.238079797032913,0.8440267993607833,0.9393669816707598,origin,Q4_most_positive
E02000101,0.0,0.0,2976.61688,3363.05279,3363.05279,2976.61688,3284,3245,5,0.5,8.019126896411132,0.1017748171864028,0.11327116971035682,origin,Q3
E02000102,0.0,0.0,862.38459,503.68585,503.68585,862.38459,1138,1151,5,0.6,6.778815211167654,-0.5548790546717672,-0.6175574794237524,origin,Q2
E02000103,0.0,0.0,1849.11794,1072.43991,1072.43991,1849.11794,1323,1877,4,0.4,6.955054349412082,0.023569290559892764,0.026231647324629154,origin,Q3
E02000104,4391.38305973,9827.04273692,826.28646,679.04852,5070.4315797300005,10653.32919692,1243,1468,5,0.75,6.882073009754778,1.649305409839437,1.8356088288517372,origin,Q4_most_positive
E02000105,324.0880332081747,913.4516684685884,2607.90968,1807.50157,2131.5896032081746,3521.3613484685884,2384,3068,5,0.8,7.644219853930355,0.02087244246983122,0.023230166740950693,origin,Q3
E02000106,597.6279243752559,1606.93001556,1983.67428,1436.64441,2034.272334375256,3590.60429556,2544,2371,4,0.5,7.7202528183991,-0.10186790423037806,-0.11337477174716172,origin,Q2
E02000107,0.0,0.0,1366.44611,929.92758,929.92758,1366.44611,1163,1105,2,0.3333333333333333,6.804238951405102,0.0319425355209173,0.035550723273146935,origin,Q3
E02000108,351.63181709305,1145.059091653275,243.25928,119.87228,471.50409709305,1388.3183716532749,448,640,5,0.75,5.688777681665207,0.46926873632739863,0.5222767295661324,origin,Q3
E02000109,0.0,0.0,986.9083,1158.27425,1158.27425,986.9083,5716,4523,4,0.375,8.667935891862443,-1.6123864501122327,-1.7945195508908556,origin,Q1_most_negative
E02000110,763.64245186,2002.735190722,150.06503,110.77989,874.4223418600001,2152.800220722,620,718,4,0.6,6.068533326621908,0.7061731196963468,0.785941527554064,origin,Q4_most_positive
E02000111,1479.302782714051,2997.4480772124,6233.4638,5830.58129,7309.884072714051,9230.9118772124,2014,2154,4,0.4,7.446817565648221,1.4503019199626905,1.6141261605655612,origin,Q4_most_positive
E02000112,700.622278059,1716.6600907600002,3311.03288,2823.45689,3524.079168059,5027.69297076,4928,4804,2,0.5,8.494271378546076,-0.3266132045280763,-0.36350701226988685,origin,Q2
E02000113,0.0,0.0,1452.71782,1139.96598,1139.96598,1452.71782,2242,2779,4,0.5,7.5723399234811435,-0.5327093900144924,-0.5928835579445657,origin,Q2
E02000114,1266.47252062,4329.695841112,1715.09961,1636.6948,2903.1673206200003,6044.795451112001,1044,838,2,0.8,6.677954989329226,1.2959470022490365,1.4423355097609598,origin,Q4_most_positive
E02000115,1605.5860267284834,3584.5866170336417,274.47131,153.95625,1759.542276728483,3859.0579270336416,453,473,4,0.4,5.701745383146111,1.7716317692069472,1.9717530165302046,origin,Q4_most_positive
E02000116,0.0,0.0,3750.46642,2501.69078,2501.69078,3750.46642,2118,2093,2,0.5,7.505746803427316,0.31937494062049687,0.35545112337566126,origin,Q3
E02000117,0.0,0.0,1499.03655,860.81922,860.81922,1499.03655,1997,2510,3,0.6666666666666666,7.436896492048215,-0.6778509649568933,-0.7544201386216727,origin,Q1_most_negative
E02000118,0.0,0.0,214.87867,135.73254,135.73254,214.87867,1767,1833,5,0.4,7.293689354972086,-2.375662600066529,-2.6440143935982876,origin,Q1_most_negative
E02000119,892.17569058,1297.109020438,1708.56513,1512.2141299999998,2404.38982058,3005.674150438,3645,3417,2,0.5,8.141217094903118,-0.3557498379387738,-0.3959348823372624,origin,Q2
E02000120,713.0461515156417,1244.9866697556834,900.45366,1199.40766,1912.4538115156415,2145.4403297556837,768,979,2,0.6,6.318840057764738,1.237825108589485,1.3776482417058329,origin,Q4_most_positive
E02000121,655.50116705,1752.016760646,2721.47658,2278.92236,2934.4235270500003,4473.493340646,3721,3694,4,0.8,8.165374800826608,-0.18076777674329048,-0.2011870724380798,origin,Q2
E02000122,0.0,0.0,762.12319,688.80949,688.80949,762.12319,334,698,5,0.4,5.345809087234208,1.1906063707847991,1.3250957359755846,origin,Q4_most_positive
E02000123,0.0,0.0,4032.20041,3186.41459,3186.41459,4032.20041,5551,5223,4,0.42857142857142855,8.633642857414518,-0.5666774636009553,-0.6306886214594346,origin,Q2
E02000124,3152.8771796373967,7335.372206448303,2832.83281,2299.94513,5452.822309637397,10168.205016448304,1599,1373,2,0.6,7.176773315672181,1.4272986673781602,1.5885244901383837,origin,Q4_most_positive
E02000125,0.0,0.0,323.24516,141.41326999999998,141.41326999999998,323.24516,604,646,2,0.6666666666666666,6.037967898573046,-1.0792347157346747,-1.2011436819325796,origin,Q1_most_negative
E02000126,727.56238126,1833.98085934,1225.28781,966.76441,1694.32679126,3059.26866934,531,683,2,0.75,5.887398567945801,1.5482322304892975,1.7231185530857145,origin,Q4_most_positive
E02000127,0.0,0.0,661.3364,316.01853,316.01853,661.3364,1283,1836,5,0.5,6.919132162056842,-1.1601719356292701,-1.2912234661465278,origin,Q1_most_negative
E02000128,0.0,0.0,670.22014,343.08862,343.08862,670.22014,1088,1453,6,0.6,6.726249317374435,-0.8853500768993428,-0.9853580835214807,origin,Q1_most_negative
E02000130,0.0,0.0,1238.11856,1184.46684,1184.46684,1238.11856,2318,2293,3,0.4,7.611358804026022,-0.5334668702318845,-0.5937266021536192,origin,Q2
E02000131,927.9140589089072,4995.539631931114,3193.78952,1744.49467,2672.408728908907,8189.329151931113,2533,2225,5,0.6666666666666666,7.715180675701825,0.17592893892668826,0.19580164572174993,origin,Q3
E02000132,0.0,0.0,957.86544,1015.24712,1015.24712,957.86544,3109,2857,4,0.4,7.955023320857752,-1.0311514939480864,-1.1476290412210752,origin,Q1_most_negative
E02000133,0.0,0.0,433.39969,553.8959,553.8959,433.39969,1054,879,7,0.8333333333333334,6.689107182923403,-0.3703266543375321,-0.4121582771788014,origin,Q2
E02000134,0.0,0.0,1706.00703,1671.06183,1671.06183,1706.00703,4416,4229,3,0.42857142857142855,8.365844619212071,-0.9440318465860829,-1.0506684704801403,origin,Q1_most_negative
E02000135,389.994179518,911.7331587378258,1393.09981,1002.13429,1392.128469518,2304.832968737825,1469,2484,5,0.5,7.077543754277222,0.16176344031687595,0.1800360305978719,origin,Q3
E02000136,0.0,0.0,320.5449,256.14965,256.14965,320.5449,786,833,5,0.5,6.345933151411632,-0.7962749402649365,-0.8862211339535964,origin,Q1_most_negative
E02000137,0.0,0.0,264.95494,197.63322,197.63322,264.95494,543,992,5,0.8,5.913517973754262,-0.6220579652351326,-0.692324833369896,origin,Q1_most_negative
E02000138,0.0,0.0,329.92299,293.15671,293.15671,329.92299,556,717,6,0.6,5.941171628027371,-0.2570589754863484,-0.2860960269233942,origin,Q2
E02000139,0.0,0.0,736.14749,882.69737,882.69737,736.14749,724,592,5,0.8,6.249847220900145,0.534267441496266,0.5946176049189388,origin,Q3
E02000140,0.0,0.0,725.20545,580.2174,580.2174,725.20545,1099,926,6,0.8,6.7380179739870005,-0.37289310467981984,-0.415014630452736,origin,Q2
E02000141,0.0,0.0,542.42722,359.97285,359.97285,542.42722,957,1217,6,0.8,6.576169012219484,-0.6873662644710814,-0.7650102741376368,origin,Q1_most_negative
E02000142,0.0,0.0,278.15691,186.81076,186.81076,278.15691,646,1127,5,0.4,6.116560970636334,-0.8811261105087915,-0.9806569833171082,origin,Q1_most_negative
E02000144,0.0,0.0,3282.78982,5126.82549,5126.82549,3282.78982,8369,5803,3,0.3333333333333333,9.11432156797404,-0.571884600763827,-0.6364839501427618,origin,Q2
E02000145,0.0,0.0,142.49739,91.93684,91.93684,142.49739,1085,1261,6,0.4,6.723019049184151,-2.191098926535731,-2.438602644750981,origin,Q1_most_negative
E02000146,0.0,0.0,891.16146,426.02,426.02,891.16146,1049,999,5,1.0,6.683544362597436,-0.6267135120582017,-0.6975062647776729,origin,Q1_most_negative
E02000147,0.0,0.0,255.05739,101.54996,101.54996,255.05739,659,1054,7,0.8,6.139855739149112,-1.509505644684431,-1.6800174619290331,origin,Q1_most_negative
E02000148,0.0,0.0,273.96225,479.07044,479.07044,273.96225,1572,1358,7,1.0,7.156844546062091,-0.9829117029268826,-1.0939401454154738,origin,Q1_most_negative
E02000149,0.0,0.0,402.70744,252.33653,252.33653,402.70744,697,1005,5,0.6,6.205405864943944,-0.6706871019902358,-0.7464470549030177,origin,Q1_most_negative
E02000150,0.0,0.0,439.93797,415.65355,415.65355,439.93797,1153,1201,6,0.8,6.794135597299469,-0.7618805361667373,-0.8479415821804078,origin,Q1_most_negative
E02000151,0.0,0.0,116.67519,60.34576,60.34576,116.67519,570,550,7,0.8,5.97023978851042,-1.8537137313962617,-2.0631068516569857,origin,Q1_most_negative
E02000152,0.0,0.0,498.02276,261.40851,261.40851,498.02276,882,1463,7,0.75,6.48070839944124,-0.9108059114947533,-1.0136893764708406,origin,Q1_most_negative
E02000153,0.0,0.0,355.09608,263.20335,263.20335,355.09608,710,1068,6,0.6,6.227014184553253,-0.6502951127573766,-0.7237516127790935,origin,Q1_most_negative
E02000154,0.0,0.0,2009.28658,2292.51161,2292.51161,2009.28658,4582,3257,5,0.6,8.409045355269011,-0.6712059791124849,-0.7470245437180106,origin,Q1_most_negative
E02000155,0.0,0.0,351.79558,228.67064,228.67064,351.79558,424,664,6,0.6,5.6244518638376215,-0.18780558120630975,-0.20901985824656627,origin,Q2
E02000156,0.0,0.0,412.35072,348.29225,348.29225,412.35072,1910,1872,6,0.375,7.384764824392073,-1.5288558600570337,-1.7015534527565839,origin,Q1_most_negative
E02000157,0.0,0.0,358.96832,437.36588,437.36588,358.96832,627,823,7,0.6,6.081658844888482,0.0013950592493783276,0.0015526433489231278,origin,Q3
E02000158,0.0,0.0,272.40096,77.58846,77.58846,272.40096,593,1125,7,0.6,6.016481580576307,-1.6522567112585822,-1.8388935054854678,origin,Q1_most_negative
E02000159,0.0,0.0,741.8996999999999,671.5848199999999,671.5848199999999,741.8996999999999,1267,1135,7,0.75,6.904448941749427,-0.3933207118326463,-0.4377497138510822,origin,Q2
E02000160,0.0,0.0,467.56499,390.53434,390.53434,467.56499,1276,1185,7,0.6,6.912730896342289,-0.9426576708372547,-1.049139069605145,origin,Q1_most_negative
E02000161,0.0,0.0,198.92824,138.16633,138.16633,198.92824,727,1128,6,0.6,6.254682622718425,-1.3190127862602274,-1.4680067750843733,origin,Q1_most_negative
E02000162,0.0,0.0,338.67987,197.42084,197.42084,338.67987,1002,1382,7,0.75,6.6299201275993696,-1.3395298979423647,-1.4908414733286086,origin,Q1_most_negative
E02000163,0.0,0.0,284.57359,177.22931,177.22931,284.57359,1143,1149,7,0.6,6.783944310373075,-1.6008733307469294,-1.781705924361472,origin,Q1_most_negative
